PHASE 77 - STEP 1: COMPLETE FUNCTION INVENTORY
===============================================
Phase: 77
Date: 2026-09-24
Environment: READ-ONLY code audit. NO production mutations. NO browser automation available. NO Vercel dashboard access.
Method: Static inspection of backend/apps/* (37 apps), backend/config/urls.py, frontend/src (58 pages, 13 components, 14 utility modules), test files, prior-phase artifacts (PHASE_73/75/76).
Status taxonomy (Phase 75/76 rules): WORKING_PROVEN | READ_ONLY_PROVEN | IMPLEMENTED_UNVERIFIED | AUTH_TEST_BLOCKED | MUTATION_BLOCKED | DEPLOYMENT_UNVERIFIED | BROKEN | NOT_APPLICABLE.
Overall_status = highest defensible label; IMPLEMENTED_UNVERIFIED is default for source-complete features whose production operation is unproven; AUTH_TEST_BLOCKED noted where authentication is the only blocker; MUTATION_BLOCKED where feature requires production data write with no authorized path.
Roles: 18 canonical roles from backend/apps/accounts/models.py Role enum (super_admin, org_admin, head_office, admin, principal, vice_principal, campus_admin, academic, accountant, hr, receptionist, librarian, guard, nurse, teacher, parent, student, staff).

Columns:
id | module | category | name | purpose | frontend | backend | api | roles | implemented | implemented_correctly | test_coverage | integrated | production_status | overall_status | evidence | notes
FUNC-0051|ATTENDANCE|Attendance|Absence alert cron|Schedule absence alerts|NotificationsPanel.jsx (dry-run trigger)|apps/attendance (AbsenceAlertCronView)|GET /api/attendance/cron/absence-alerts/|super_admin,admin|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED (NotificationsPanel dry-run)|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|Cron route present|Sends notifications = mutation

FUNC-0052|SCHOOLS|Academic structure|Academic years/terms workflow|List/detail, activate/close academic years + terms|src/pages/AcademicsPage.jsx, SettingsPage.jsx|apps/schools (AcademicYear*View, Term*View; AcademicYear, Term models)|GET /api/schools/academic-years/, /{pk}/, /{pk}/{action}/; /api/schools/terms/...|super_admin,admin,principal,academic|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (AcademicYearTermWorkflowApiTests, AcademicStructureModelTests)|INTEGRATED (AcademicsPage, SettingsPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Workflow tests in schools/tests.py|-

FUNC-0053|SCHOOLS|Academic structure|Classes/sections/units/subjects|Academic unit, class, section, subject, offering lists|AcademicsPage.jsx|apps/schools (AcademicUnitListView, ClassListView, SectionListView/DetailView, SubjectListView, SubjectOfferingListView; Subject, SubjectGroup, SubjectOffering, ClassTeacher models)|GET /api/schools/units/, /classes/, /sections/, /sections/{pk}/, /subjects/, /offerings/|super_admin,admin,principal,academic|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (SectionDetailApiTests, ClassHeadcountApiTests)|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Tests present|-

FUNC-0054|SCHOOLS|Campuses|Campus CRUD|Campus CRUD + detail + optional admin provisioning|src/pages/CampusesPage.jsx|apps/schools (CampusViewSet)|GET/POST /api/schools/campuses/, /{pk}/ (GET|PUT|PATCH|DELETE)|super_admin,admin,principal,academic|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (CampusScopedUserTests, CampusIsolationTests)|INTEGRATED (CampusesPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|CampusViewSet in schools|-

FUNC-0055|SCHOOLS|Schools|School lifecycle (pause/activate/archive)|Tenant school state management|TenantsPage.jsx, SettingsPage.jsx|apps/schools (SchoolViewSet pause/activate/archive/unarchive)|POST /api/schools/{pk}/pause|activate|archive|unarchive|super_admin,org_admin|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (TenantDataIsolationTests)|INTEGRATED (TenantsPage)|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|SchoolViewSet in schools/urls.py|State changes = mutation

FUNC-0056|SCHOOLS|Platform|Tenant config (public)|Public tenant config for branding/login|src/pages/LoginPage.jsx|apps/schools (PublicTenantConfigView)|GET /api/schools/tenant-config/|PUBLIC|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED (LoginPage, excluded from sessionWatch)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Route present|-

FUNC-0057|SCHOOLS|Platform|Module enablement flags|Current modules enabled for school|src/schoolContext.jsx|apps/schools (CurrentModulesView)|GET /api/schools/modules/current/|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (ModuleEnforcementTests)|INTEGRATED (schoolContext gating nav)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|ModuleEnforcementTests present|-

FUNC-0058|SCHOOLS|Platform|School branding|Logo/favicon/colors/contact upload+config|src/pages/BrandingPage.jsx|apps/schools (SchoolBrandingView; SchoolSettings model)|GET/PUT /api/schools/branding/|super_admin,admin|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (TenantBrandingApiTests, ThemeColorBrandingApiTests, BrandingIsolationTests)|INTEGRATED (BrandingPage, brandTheme.js)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Branding tests present|-

FUNC-0059|SCHOOLS|Platform|Tenant (multi-school) CRUD|Platform tenant list/create|TenantsPage.jsx|apps/schools (TenantListCreateView, TenantDetailView)|GET/POST /api/schools/tenants/, /{pk}/|super_admin,org_admin|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Routes present|-

FUNC-0060|FINANCE|Finance|Fee categories & structures|Fee category + structure CRUD, overrides|src/pages/FinancePage.jsx|apps/finance (FeeCategoryListView, FeeStructureListView/DetailView, StudentFeeOverride*View; FeeCategory, FeeStructure, StudentFeeOverride models)|GET /api/finance/categories/, /fee-structures/, /{pk}/, /fee-overrides/..., /fee-assignment/preview/|super_admin,admin,principal,academic,accountant|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (FeeAssignmentTests)|INTEGRATED (FinancePage, StudentFeesPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Fee tests in finance/tests.py|-

FUNC-0061|FINANCE|Finance|Invoices|Invoice list/detail/installments, bulk invoice generation|src/pages/FinancePage.jsx, BulkFinancePage.jsx|apps/finance (InvoiceListView/CreateView/DetailView, BulkInvoiceCreateView, InstallmentScheduleView; Invoice, InvoiceItem models)|GET/POST /api/finance/invoices/, /create/, /{pk}/, /invoices/bulk/, /invoices/{inv_id}/installments/|super_admin,admin,principal,academic,accountant|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (FinanceModelTests, PaymentIntegrityTests)|INTEGRATED (FinancePage, BulkFinancePage)|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|Invoice creation = mutation; bulk path present|-

FUNC-0062|FINANCE|Payments|Payments + receipts|Record payments (cash/bank/JazzCash/EasyPaisa/card), receipts HTML/PDF, reversal, bulk|FinancePage.jsx, BulkFinancePage.jsx|apps/finance (PaymentListView/CreateView/DetailView, PaymentReceiptHTMLView, PaymentReceiptPDFView, PaymentReversalCreateView, BulkPaymentCreateView; Payment, PaymentReversal models)|GET/POST /api/finance/payments/, /create/, /{pk}/, /{pk}/receipt/, /{pk}/receipt.pdf/, /payments/reversals/, /payments/bulk/|super_admin,admin,principal,academic,accountant|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (PaymentIntegrityTests, ReceiptTests)|INTEGRATED (FinancePage receipt download)|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|Payment record = mutation; receiving AR|-

FUNC-0063|FINANCE|Payments|Payment gateways (Stripe/JazzCash/EasyPaisa)|Checkout + callbacks|FinancePage.jsx (payment methods)|apps/finance (StripeCheckoutView, stripe_webhook, JazzCashCheckoutView, jazzcash_callback, EasyPaisaCheckoutView, easypaisa_callback)|POST /api/finance/stripe/checkout/, /stripe/webhook/, /jazzcash/checkout/, /jazzcash/callback/, /easypaisa/checkout/, /easypaisa/callback/|PUBLIC (callbacks), accountant/admin|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (JazzCashCheckoutSecurityTests)|INTEGRATED (FinancePage methods)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Gateway security tests present|Live gateway creds/callbacks unverifiable

FUNC-0064|FINANCE|Finance|Outstanding balances|Outstanding balance list + per student + receivables|StudentFeesPage.jsx, FinancePage.jsx|apps/finance (OutstandingBalanceView, StudentOutstandingBalanceView; PaymentIntegrityTests, ReceivablesAgingApiTests)|GET /api/finance/outstanding/, /students/{sid}/; /reports/receivables/|super_admin,admin,principal,academic,accountant|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (ReceivablesAgingApiTests)|INTEGRATED (StudentFeesPage outstanding)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Aging tests present|-

FUNC-0065|FINANCE|Finance|Concessions/fines/adjustments/refunds|Approve/apply concession, fines, adjustments, refunds|FinancePage.jsx|apps/finance (Concession*View, Fine*View, Adjustment*View, PaymentRefundListCreateView; Concession, Fine, Adjustment, PaymentRefund models)|POST /api/finance/concessions/, /{pk}/approve/; /fines/..., /adjustments/..., /refunds/|super_admin,admin,principal,academic,accountant|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (ConcessionTests, FineTests, FineWaiverTests, AdjustmentTests, RefundTests)|INTEGRATED|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|Finance tests confirm flows|All = financial mutations

FUNC-0066|FINANCE|Accounting|Journal entries, expenses|Double-entry journal, expenses posting|FinancePage.jsx|apps/finance (JournalEntryListView/CreateView/DetailView/PostView/VoidView, ExpenseListCreateView/PostView; JournalEntry, JournalLine, Expense models)|GET/POST /api/finance/journal/, /journal-entries/..., /expenses/..., /expenses/{pk}/post/, /accounts/|super_admin,admin,principal,academic,accountant|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (JournalEntryTests, ExpenseTests)|INTEGRATED|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|Accounting tests present|Posting/voiding = mutation

FUNC-0067|FINANCE|Accounting|Bank accounts & reconciliation|Bank account CRUD + reconciliation approve|FinancePage.jsx|apps/finance (BankAccount*View, BankReconciliation*View; BankAccount, BankReconciliation models)|GET/POST /api/finance/bank-accounts/, /{pk}/, /bank-reconciliations/..., /{pk}/approve/|super_admin,admin,accountant|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Routes present|-

FUNC-0068|FINANCE|Accounting|Budgets & lines|Budget CRUD, lines, approve/close|FinancePage.jsx|apps/finance (Budget*View, BudgetLine*View; Budget, BudgetLine models)|GET/POST /api/finance/budgets/, /{pk}/, /{budget_id}/lines/, /{pk}/approve|close|super_admin,admin,accountant|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Routes present|-

FUNC-0069|FINANCE|Finance|Late fees|Apply/preview late fees + cron|FinancePage.jsx, NotificationsPanel.jsx|apps/finance (LateFeeCronView, LateFeeApplyView, LateFeePreviewView; LateFeeServiceTests)|POST /api/finance/late-fees/apply/, /preview/; GET /cron/late-fees/|super_admin,admin,accountant|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (LateFeeServiceTests)|INTEGRATED|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|LateFeeServiceTests present|Apply = mutation

FUNC-0070|FINANCE|Finance|Trial balance / income-expense reports|Finance reports|FinancePage.jsx, ReportsPage.jsx|apps/finance (TrialBalanceReportView, IncomeExpenseReportView)|GET /api/finance/reports/trial-balance/, /reports/income-expense/|super_admin,admin,principal,academic,accountant|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED (ReportsPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Routes present|-

FUNC-0071|EXAMS|Exams|Exam CRUD|Exam lifecycle hub (create/edit, subjects, schedule, seating, marks entry)|src/pages/ExamsPage.jsx + panel components|apps/exams (ExamListView/DetailView, ExamSubject*, ExamSchedule*, ExamSeating*; Exam, ExamSubject, ExamSchedule, ExamSeating models)|GET/POST /api/exams/, /{pk}/, /subjects/..., /schedules/..., /seating/..., /seating/bulk/|super_admin,admin,principal,academic,teacher|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (ExamCrudApiTests, ExamSubjectApiTests, ExamScheduleApiTests, ExamSeatingApiTests, ExamScheduleConflictTests, ExamScheduleValidationTests, ExamTermValidationTests)|INTEGRATED (ExamsPage + ManageSubjects/Schedule/SeatingPanels + ExamFormModal)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Comprehensive exams tests present|-

FUNC-0072|EXAMS|Results|Marks entry & results|Marks entry grid, results list/detail, practical, gradebook|src/pages/MarksEntryPanel.jsx (inside ExamsPage)|apps/exams (StudentResultListView/DetailView, PracticalResult*, ClassGradebookView; StudentResult, PracticalResult models)|GET/POST /api/exams/results/, /{pk}/, /practical/..., /gradebook/|super_admin,admin,principal,academic,teacher|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (KnownMarksTests, PercentageCalculationTests, GradeBoundaryTests, GpaCalculationTests, PassFailTests, InvalidMarksTests, GradeServiceDelegationTests, MarksAuthorizationTests)|INTEGRATED (MarksEntryPanel)|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|Marks entry = mutation; grade calc tested|pytest_exams.txt historical 1 failure re-ran green (pytest_exams2) -> no persistent defect

FUNC-0073|EXAMS|Results|Grade amendments (approve/reject)|Grade amendment workflow|ExamsPage.jsx|apps/exams (GradeAmendmentListCreateView, GradeAmendmentApproveView, GradeAmendmentRejectView; GradeAmendment model)|GET/POST /api/exams/amendments/, /{pk}/approve|reject|super_admin,admin,principal,academic|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|Route present|Approve/reject = mutation

FUNC-0074|REPORTCARDS|Report cards|Report card list/pdf/status|Report card list, detail, PDF, status, batch PDF|src/pages/ReportCardsPage.jsx|apps/reportcards (ReportCardListView/DetailView/PdfView/StatusView/PdfBatchView; ReportCard, ReportCardSubject models)|GET /api/report-cards/, /{pk}/, /{pk}/pdf/, /{pk}/status/, /pdf/batch/|super_admin,admin,principal,academic,teacher|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (ReportCardModelTests, ReportCardListTests, ReportCardPdfTests)|INTEGRATED (ReportCardsPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Report card tests present|PDF generation unverified prod

FUNC-0075|REPORTCARDS|Report cards|Grade scales|Grade scale + bands CRUD|SettingsPage.jsx|apps/reportcards (GradeScaleListView; GradeScale, GradeBand models)|GET /api/report-cards/grade-scales/|super_admin,admin,principal,academic|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (GradeScaleTests)|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|GradeScaleTests present|-

FUNC-0076|REPORTCARDS|Results|Result life-cycle (lock/publish)|Locking + lifecycle API|ReportCardsPage.jsx|apps/reportcards (ResultLifecycle* in tests; views via reportcards)|Result lifecycle routes|super_admin,admin,principal,academic|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (ResultLifecycleModelTests, ResultLockingModelTests, ResultLifecycleApiTests, ResultLifecycleIsolationApiTests)|INTEGRATED|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|Lifecycle tests present|Locking/publishing = mutation

FUNC-0077|TIMETABLE|Timetable|Period & entry management|Periods, entries per class/section|src/pages/TimetablePage.jsx|apps/timetable (PeriodListView, TimetableEntryListView; Period, TimetableEntry models)|GET /api/timetable/periods/, /entries/|super_admin,admin,principal,academic,teacher,staff,student,parent|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (TimetableModelTests, TimetablePeriodIsolationTests, TimetableEntryIsolationTests)|INTEGRATED (TimetablePage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Timetable tests present|-

FUNC-0078|TIMETABLE|Timetable|Conflict detection & generation|Detect conflicts, auto-generate timetable|TimetablePage.jsx|apps/timetable (TimetableConflictsView, TimetableGenerateView)|GET /api/timetable/conflicts/, /generate/|super_admin,admin,principal,academic|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (TimetableConflictsIsolationTests, TimetableConflictRejectionTests)|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Conflict tests present; generation unverified|-

FUNC-0079|EVENTS|Events|Events CRUD + RSVP|Event list/detail, audience targeting, publish, RSVP|src/pages/EventsPage.jsx|apps/events (EventListCreateView, EventDetailView, EventRSVPView; Event, EventAudience, EventRSVP models)|GET/POST /api/events/, /{pk}/, POST /{pk}/rsvp/|ANY_AUTHENTICATED|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (EventTests: CRUD, audit, published-only visibility)|INTEGRATED (EventsPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|EventTests present|-

FUNC-0080|COMMUNICATION|Announcements|Announcements CRUD (role-targeted)|Targeted announcements to parent/teacher/student|src/pages/AnnouncementsPage.jsx|apps/communication (AnnouncementListView, AnnouncementDetailView; Announcement model)|GET/POST /api/communication/announcements/, /{pk}/|super_admin,admin,principal,academic,accountant,hr,teacher,staff,student,parent|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (AnnouncementAudienceFilteringTests, AnnouncementIsolationTests, AnnouncementTargetUserIdsTests)|INTEGRATED (AnnouncementsPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Audience + isolation tests present|-

FUNC-0081|COMMUNICATION|Messages|Internal messaging|Inbox/sent, compose w/ recipient search, threads, unread count|src/pages/MessagesPage.jsx|apps/communication (MessageListView, MessageRecipientsView, MessageUnreadCountView, MessageDetailView, MessageThreadView; Message model)|GET/POST /api/communication/messages/, /recipients/, /unread-count/, /{pk}/, /{pk}/thread/|ALL authenticated|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (MessageIsolationTests)|INTEGRATED (MessagesPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Tests present|-

FUNC-0082|COMMUNICATION|Notifications|Notifications + read-all|Notification in-app queue, read/read-all|MessagesPage/AnnouncementsPage|apps/communication (NotificationListView, NotificationMarkReadView, NotificationMarkAllReadView; Notification, NotificationDispatch, QueuedNotification models)|GET /api/communication/notifications/, /{pk}/read/, /read-all/|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (NotificationQueueTests, ProcessNotificationsCronTests, ResultPublishedNotificationTests)|INTEGRATED (toast/notification UI)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Notification tests present|ProcessNotificationsCron = mutation

FUNC-0083|COMMUNICATION|SMS|SMS broadcast + logs|Send role-targeted SMS, provider prefs, logs|src/pages/SMSPage.jsx|apps/communication (SMSBroadcastView, SMSLogListView; SMSLog model)|POST /api/communication/sms/send/, GET /sms/logs/|super_admin,admin|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (MessageIsolationTests cover logs)|INTEGRATED (SMSPage)|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|Sending = real external send + log mutation|Provider creds unverified

FUNC-0084|COMMUNICATION|Email|Email broadcast + logs|Send role-targeted email, logs|SMSPage.jsx (email tab)|apps/communication (EmailBroadcastView, EmailLogListView; EmailLog model)|POST /api/communication/email/send/, GET /email/logs/|super_admin,admin|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (EmailLogIsolationTests)|INTEGRATED|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|Sending = external call + log|Provider creds unverified

FUNC-0085|COMMUNICATION|Templates|Message templates|SMS/email templates with placeholders + preview|src/pages/TemplatesPage.jsx|apps/communication (MessageTemplateListView, MessageTemplateDetailView, MessageTemplatePreviewView; MessageTemplate model)|GET/POST /api/communication/templates/, /{pk}/, /{pk}/preview/|super_admin,admin|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (MessageTemplateIsolationTests)|INTEGRATED (TemplatesPage, one-click send)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Tests present|-

FUNC-0086|COMMUNICATION|Crons|Fee reminders / auto notifications|Cron fee reminders + due notification processing|NotificationsPanel.jsx (dry-run)|apps/communication (FeeReminderCronView, ProcessNotificationsCronView)|GET /api/communication/cron/fee-reminders/, /cron/process-notifications/|super_admin,admin|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (ProcessNotificationsCronTests)|INTEGRATED (NotificationsPanel dry-run)|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|Cron tests present|Trigger = mutation/external

FUNC-0087|AUDIT|Audit|Audit log list + actions|Action/date filters, expandable details, CSV export|src/pages/AuditLogsPage.jsx|apps/audit (AuditLogListView, AuditLogActionChoicesView; AuditLog model)|GET /api/audit/, /actions/|super_admin,admin|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (AuditCsvExportTests, AuditLoggingTests)|INTEGRATED (AuditLogsPage CSV export)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|CSV export tests present|-

FUNC-0088|LIBRARY|Library|Book catalog + copies|Book list/detail, book copies CRUD|src/pages/LibraryPage.jsx|apps/library (BookListView, BookDetailView, BookCopyListCreateView, BookCopyDetailView; Book, BookCopy models)|GET/POST /api/library/books/, /{pk}/, /{bk}/copies/, /{bk}/copies/{pk}/|super_admin,admin,principal,academic,accountant,hr,librarian|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (BookCampusIsolationTests)|INTEGRATED (LibraryPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Tests present; root deploy-test route present|-

FUNC-0089|LIBRARY|Library|Book issue/return|Issue, return, detail, overdue/fines|LibraryPage.jsx|apps/library (BookIssueListView, BookIssueDetailView, BookReturnView; BookIssue model)|GET/POST /api/library/issues/, /{pk}/, POST /{pk}/return/|librarian|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (indirect)|INTEGRATED (LibraryPage)|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|Explicitly MUTATION_BLOCKED per PHASE_73|Issue/return = data mutation

FUNC-0090|LIBRARY|Library|Reservations (fulfill/cancel)|Reserve, fulfill, cancel|LibraryPage.jsx|apps/library (BookReservationListCreateView, BookReservationDetailView, BookReservationFulfillView, BookReservationCancelView; BookReservation model)|GET/POST /api/library/reservations/, /{pk}/, POST /{pk}/fulfill|cancel|librarian|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|Explicitly MUTATION_BLOCKED per PHASE_73|-

FUNC-0091|LIBRARY|Library|Library members/settings/reports|Member list, settings, reports|LibraryPage.jsx|apps/library (LibraryMembersView, LibrarySettingsView, LibraryReportsView)|GET /api/library/members/, /settings/, /reports/|librarian|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Routes present|-

FUNC-0092|TRANSPORT|Transport|Vehicles/drivers/routes CRUD|Vehicle, driver, route (with stops) CRUD|src/pages/TransportPage.jsx|apps/transport (VehicleListView, DriverListView, RouteListView + details; Vehicle, Driver, Route, RouteStop models)|GET/POST /api/transport/vehicles/, /drivers/, /routes/, /{pk}/|super_admin,admin,principal,academic,accountant,hr|IMPLEMENTED|IMPLEMENTED_CORRECTLY|NO TESTS (transport has no tests.py)|INTEGRATED (TransportPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|No dedicated transport tests|-

FUNC-0093|TRANSPORT|Transport|Assignments|Assign students to routes/vehicles|TransportPage.jsx|apps/transport (TransportAssignmentListView, TransportAssignmentDetailView; TransportAssignment model)|GET/POST /api/transport/assignments/, /{pk}/|super_admin,admin,principal,academic,accountant,hr|IMPLEMENTED|IMPLEMENTED_CORRECTLY|NO TESTS|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|No tests|-

FUNC-0094|TRANSPORT|Transport|GPS ping/live|GPS tracking overlay + live positions|TransportPage.jsx (map overlay)|apps/transport (GpsPingView, GpsLiveView; VehicleLocationLog model)|POST /api/transport/gps/ping/, GET /gps/live/|super_admin,admin,guard|IMPLEMENTED|IMPLEMENTED_CORRECTLY|NO TESTS|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Route + model present; live map overlay unverified|-

FUNC-0095|INVENTORY|Inventory|Categories/suppliers/assets CRUD|Asset categories, suppliers, assets, maintenance records|src/pages/InventoryPage.jsx|apps/inventory (AssetCategory*View, Supplier*View, AssetListView/DetailView, MaintenanceRecord*View; AssetCategory, Supplier, Asset, MaintenanceRecord models)|GET/POST /api/inventory/categories/, /suppliers/, /assets/, /{pk}/, /maintenance/, /{pk}/|super_admin,admin,principal,academic,accountant,hr|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (AssetCampusIsolationTests)|INTEGRATED (InventoryPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Isolation tests present|-

FUNC-0096|INVENTORY|Inventory|Asset assignments|Assign assets to staff/students|InventoryPage.jsx|apps/inventory (AssetAssignmentListView, AssetAssignmentDetailView; AssetAssignment model)|GET/POST /api/inventory/assignments/, /{pk}/|super_admin,admin,principal,academic,accountant,hr|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Routes present|-

FUNC-0097|INVENTORY|Stock|Stock levels/movements/summary|Stock level CRUD, movements, summary|src/pages/InventoryPage.jsx (stock engine)|apps/inventory (StockLevel*View, StockMovementListView, StockSummaryView; StockLevel, StockMovement models)|GET/POST /api/inventory/stock/levels/, /{pk}/, /stock/movements/, /stock/summary/|super_admin,admin,principal,academic,accountant,hr|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (StockEngineTests, StockLevelAPITests, StockMovementAPITests, StockSummaryAPITests, StockMovementTenantIsolationTests)|INTEGRATED (InventoryPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Stock engine + isolation tests present|-

FUNC-0098|PAYROLL|Payroll|Salary structures|Salary structures with components (6 calc types)|src/pages/PayrollPage.jsx|apps/payroll (SalaryStructureListView/DetailView; SalaryStructure, SalaryStructureComponent, SalaryComponentTemplate models)|GET/POST /api/payroll/salary-structures/, /{pk}/|super_admin,admin,principal,academic,accountant,hr|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (SalaryStructurePayrollTests)|INTEGRATED (PayrollPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Payroll tests present|-

